"Domain_analysis";"Class_analysis";"Metabolite_scope";"Article_count";"Current_species_count";"Genus_count";"Organ_count";"Incidence_record_count";"Evidence_record_count";"Chemical_entity_count";"Exact_structure_count";"Resolved_class_count";"Entity_fraction_total";"Species_prevalence_current";"Article_prevalence";"Entities_per_article_observed"
"Alkaloids and nitrogen compounds";"Other alkaloids/nitrogen compounds";1;12;4;3;7;61;100;20;10;1;0.0121580547112462;0.023121387283237;0.048;1.66666666666667
"Alkaloids and nitrogen compounds";"Piperidine alkaloids";1;10;2;1;7;33;46;19;2;1;0.0115501519756839;0.0115606936416185;0.04;1.9
"Amino acids and peptides";"Amino acids and derivatives";1;3;9;6;3;27;55;8;0;1;0.00486322188449848;0.0520231213872832;0.012;2.66666666666667
"Amino acids and peptides";"Proteins/peptides";1;5;11;8;4;110;146;18;1;1;0.0109422492401216;0.0635838150289017;0.02;3.6
"Carbohydrates";"Polysaccharides";1;9;9;9;3;18;43;14;0;1;0.00851063829787234;0.0520231213872832;0.036;1.55555555555556
"Carbohydrates";"Sugars and carbohydrate derivatives";1;26;25;18;8;96;192;56;22;1;0.0340425531914894;0.144508670520231;0.104;2.15384615384615
"Lipids and lipid-like molecules";"Fatty acid esters";1;17;16;16;4;136;137;57;46;1;0.0346504559270517;0.092485549132948;0.068;3.35294117647059
"Lipids and lipid-like molecules";"Fatty acids and derivatives";1;86;84;47;7;1571;1962;128;74;1;0.0778115501519757;0.485549132947977;0.344;1.48837209302326
"Lipids and lipid-like molecules";"Fatty alcohols and wax constituents";1;9;10;9;2;24;24;18;14;1;0.0109422492401216;0.0578034682080925;0.036;2
"Lipids and lipid-like molecules";"Glycerolipids";1;3;7;7;2;75;75;36;3;1;0.0218844984802432;0.0404624277456647;0.012;12
"Lipids and lipid-like molecules";"Hydrocarbons";1;14;18;15;4;104;107;72;61;1;0.0437689969604863;0.104046242774566;0.056;5.14285714285714
"Lipids and lipid-like molecules";"Other lipids";1;6;6;6;4;27;52;24;2;1;0.0145896656534954;0.0346820809248555;0.024;4
"Lipids and lipid-like molecules";"Sphingolipids";1;3;3;3;3;10;10;10;0;1;0.0060790273556231;0.0173410404624277;0.012;3.33333333333333
"Other primary metabolites";"Organic acids";1;13;69;44;3;107;126;24;16;1;0.0145896656534954;0.398843930635838;0.052;1.84615384615385
"Other primary metabolites";"Other primary metabolites";1;3;3;3;2;5;5;5;4;1;0.00303951367781155;0.0173410404624277;0.012;1.66666666666667
"Other specialized metabolites";"Benzofuran";1;2;2;2;2;2;2;2;0;1;0.00121580547112462;0.0115606936416185;0.008;1
"Other specialized metabolites";"Chlorophylls and pheophytins";1;1;1;1;1;3;3;3;2;1;0.00182370820668693;0.00578034682080925;0.004;3
"Other specialized metabolites";"Other specialized metabolites";1;2;2;2;1;2;2;2;1;1;0.00121580547112462;0.0115606936416185;0.008;1
"Other specialized metabolites";"Plant hormone";1;3;3;3;3;4;4;3;3;1;0.00182370820668693;0.0173410404624277;0.012;1
"Other specialized metabolites";"Volatile organic compounds";1;19;29;22;5;172;179;112;97;1;0.0680851063829787;0.167630057803468;0.076;5.89473684210526
