"Organ_primary";"Article_count";"Current_species_count";"Genus_count";"Organ_count";"Incidence_record_count";"Evidence_record_count";"Chemical_entity_count";"Exact_structure_count";"Resolved_class_count";"Entity_fraction_total";"Species_prevalence_current";"Article_prevalence";"Entities_per_article_observed"
"Flower/inflorescence";18;25;15;1;472;503;304;157;27;0.184802431610942;0.144508670520231;0.072;16.8888888888889
"Fruit";129;120;64;1;2631;3193;810;408;42;0.492401215805471;0.69364161849711;0.516;6.27906976744186
"Leaf";46;38;27;1;701;863;448;292;40;0.272340425531915;0.219653179190751;0.184;9.73913043478261
"Mixed organs";14;12;10;1;112;112;80;34;17;0.0486322188449848;0.069364161849711;0.056;5.71428571428571
"Other/unclear";10;7;6;1;43;53;38;24;13;0.0231003039513678;0.0404624277456647;0.04;3.8
"Root";8;5;5;1;41;41;39;25;8;0.0237082066869301;0.0289017341040462;0.032;4.875
"Sap/exudate/resin";3;2;2;1;21;21;21;3;3;0.0127659574468085;0.0115606936416185;0.012;7
"Seed";57;71;40;1;1052;1365;309;182;33;0.187841945288754;0.410404624277457;0.228;5.42105263157895
"Stem/shoot";9;8;6;1;42;42;40;17;12;0.0243161094224924;0.046242774566474;0.036;4.44444444444444
"Whole/aerial plant";4;4;4;1;57;57;44;13;15;0.0267477203647416;0.023121387283237;0.016;11
