"Organ_primary";"Domain_analysis";"Class_analysis";"Species_class_count";"Article_count";"Chemical_entity_count";"Incidence_record_count";"Species_studied_in_organ";"Species_prevalence_within_organ"
"Flower/inflorescence";"Alkaloids and nitrogen compounds";"Other alkaloids/nitrogen compounds";3;3;4;7;25;0.12
"Flower/inflorescence";"Alkaloids and nitrogen compounds";"Piperidine alkaloids";2;2;1;2;25;0.08
"Flower/inflorescence";"Amino acids and peptides";"Amino acids and derivatives";1;1;4;4;25;0.04
"Flower/inflorescence";"Amino acids and peptides";"Proteins/peptides";2;2;16;30;25;0.08
"Flower/inflorescence";"Carbohydrates";"Sugars and carbohydrate derivatives";1;1;2;2;25;0.04
"Flower/inflorescence";"Lipids and lipid-like molecules";"Fatty acid esters";1;1;3;3;25;0.04
"Flower/inflorescence";"Lipids and lipid-like molecules";"Fatty acids and derivatives";2;5;23;25;25;0.08
"Flower/inflorescence";"Lipids and lipid-like molecules";"Hydrocarbons";7;3;5;15;25;0.28
"Flower/inflorescence";"Lipids and lipid-like molecules";"Sphingolipids";1;1;8;8;25;0.04
"Flower/inflorescence";"Other specialized metabolites";"Volatile organic compounds";16;5;34;59;25;0.64
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Coumarins";1;1;1;1;25;0.04
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Flavanols and flavans";2;2;1;2;25;0.08
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Flavanones";1;1;1;1;25;0.04
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Flavones";1;1;3;3;25;0.04
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Flavonols";4;5;6;11;25;0.16
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Other phenolics";4;6;11;12;25;0.16
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Other/unspecified flavonoids";1;3;28;31;25;0.04
"Flower/inflorescence";"Phenylpropanoids and polyketides";"Phenolic acids and derivatives";3;5;16;18;25;0.12
"Flower/inflorescence";"Terpenoids and steroids";"Carotenoids and apocarotenoids";4;3;5;7;25;0.16
"Flower/inflorescence";"Terpenoids and steroids";"Diterpenoids";1;1;1;1;25;0.04
"Flower/inflorescence";"Terpenoids and steroids";"Monoterpenoids";17;6;31;87;25;0.68
"Flower/inflorescence";"Terpenoids and steroids";"Other terpenoids";5;4;6;10;25;0.2
"Flower/inflorescence";"Terpenoids and steroids";"Saponins";3;3;27;29;25;0.12
"Flower/inflorescence";"Terpenoids and steroids";"Sesquiterpenoids";11;6;53;88;25;0.44
"Flower/inflorescence";"Terpenoids and steroids";"Steroids and sterols";3;4;10;12;25;0.12
"Flower/inflorescence";"Terpenoids and steroids";"Tocochromanols";1;1;1;1;25;0.04
"Flower/inflorescence";"Vitamins and cofactors";"Vitamins/cofactors";1;1;3;3;25;0.04
"Fruit";"Alkaloids and nitrogen compounds";"Other alkaloids/nitrogen compounds";2;4;7;13;120;0.0166666666666667
"Fruit";"Alkaloids and nitrogen compounds";"Piperidine alkaloids";2;6;16;19;120;0.0166666666666667
"Fruit";"Amino acids and peptides";"Amino acids and derivatives";8;2;4;22;120;0.0666666666666667
"Fruit";"Amino acids and peptides";"Proteins/peptides";8;2;12;78;120;0.0666666666666667
"Fruit";"Carbohydrates";"Polysaccharides";5;5;7;8;120;0.0416666666666667
"Fruit";"Carbohydrates";"Sugars and carbohydrate derivatives";13;11;28;57;120;0.108333333333333
"Fruit";"Lipids and lipid-like molecules";"Fatty acid esters";5;7;31;65;120;0.0416666666666667
"Fruit";"Lipids and lipid-like molecules";"Fatty acids and derivatives";49;44;76;770;120;0.408333333333333
"Fruit";"Lipids and lipid-like molecules";"Fatty alcohols and wax constituents";4;4;9;9;120;0.0333333333333333
"Fruit";"Lipids and lipid-like molecules";"Glycerolipids";6;2;32;71;120;0.05
"Fruit";"Lipids and lipid-like molecules";"Hydrocarbons";4;4;19;20;120;0.0333333333333333
"Fruit";"Lipids and lipid-like molecules";"Other lipids";3;3;20;20;120;0.025
"Fruit";"Lipids and lipid-like molecules";"Sphingolipids";1;1;1;1;120;0.00833333333333333
"Fruit";"Other primary metabolites";"Organic acids";66;10;22;104;120;0.55
"Fruit";"Other primary metabolites";"Other primary metabolites";2;2;3;3;120;0.0166666666666667
"Fruit";"Other specialized metabolites";"Benzofuran";1;1;1;1;120;0.00833333333333333
"Fruit";"Other specialized metabolites";"Volatile organic compounds";5;5;33;37;120;0.0416666666666667
"Fruit";"Phenylpropanoids and polyketides";"Anthocyanins";12;19;38;68;120;0.1
"Fruit";"Phenylpropanoids and polyketides";"Biflavonoids";0;1;2;2;120;0
"Fruit";"Phenylpropanoids and polyketides";"Coumarins";1;1;1;1;120;0.00833333333333333
"Fruit";"Phenylpropanoids and polyketides";"Flavanols and flavans";27;28;24;84;120;0.225
"Fruit";"Phenylpropanoids and polyketides";"Flavanones";15;6;4;29;120;0.125
"Fruit";"Phenylpropanoids and polyketides";"Flavones";28;19;26;72;120;0.233333333333333
"Fruit";"Phenylpropanoids and polyketides";"Flavonols";32;27;22;135;120;0.266666666666667
"Fruit";"Phenylpropanoids and polyketides";"Isoflavonoids";3;6;13;24;120;0.025
"Fruit";"Phenylpropanoids and polyketides";"Lignans and neolignans";3;6;16;21;120;0.025
"Fruit";"Phenylpropanoids and polyketides";"Other phenolics";21;20;59;72;120;0.175
"Fruit";"Phenylpropanoids and polyketides";"Other/unspecified flavonoids";17;15;45;79;120;0.141666666666667
"Fruit";"Phenylpropanoids and polyketides";"Phenolic acids and derivatives";43;37;63;479;120;0.358333333333333
"Fruit";"Phenylpropanoids and polyketides";"Phenolic lipids";1;1;2;2;120;0.00833333333333333
"Fruit";"Phenylpropanoids and polyketides";"Proanthocyanidins";4;4;5;7;120;0.0333333333333333
"Fruit";"Phenylpropanoids and polyketides";"Stilbenoids";10;9;10;17;120;0.0833333333333333
"Fruit";"Terpenoids and steroids";"Carotenoids and apocarotenoids";16;15;18;50;120;0.133333333333333
"Fruit";"Terpenoids and steroids";"Diterpenoids";1;2;9;9;120;0.00833333333333333
"Fruit";"Terpenoids and steroids";"Monoterpenoids";6;6;35;44;120;0.05
"Fruit";"Terpenoids and steroids";"Other terpenoids";2;2;17;17;120;0.0166666666666667
"Fruit";"Terpenoids and steroids";"Saponins";2;2;9;9;120;0.0166666666666667
"Fruit";"Terpenoids and steroids";"Sesquiterpenoids";5;5;33;38;120;0.0416666666666667
"Fruit";"Terpenoids and steroids";"Steroids and sterols";9;9;17;28;120;0.075
"Fruit";"Terpenoids and steroids";"Tocochromanols";6;7;5;11;120;0.05
"Fruit";"Terpenoids and steroids";"Triterpenoids";3;3;4;4;120;0.025
"Fruit";"Vitamins and cofactors";"Vitamins/cofactors";12;9;12;31;120;0.1
"Leaf";"Alkaloids and nitrogen compounds";"Other alkaloids/nitrogen compounds";1;1;3;3;38;0.0263157894736842
"Leaf";"Alkaloids and nitrogen compounds";"Piperidine alkaloids";1;1;1;1;38;0.0263157894736842
"Leaf";"Amino acids and peptides";"Proteins/peptides";1;1;1;1;38;0.0263157894736842
"Leaf";"Carbohydrates";"Sugars and carbohydrate derivatives";6;5;9;12;38;0.157894736842105
"Leaf";"Lipids and lipid-like molecules";"Fatty acid esters";9;7;29;41;38;0.236842105263158
"Leaf";"Lipids and lipid-like molecules";"Fatty acids and derivatives";12;10;38;48;38;0.315789473684211
"Leaf";"Lipids and lipid-like molecules";"Fatty alcohols and wax constituents";6;5;14;15;38;0.157894736842105
"Leaf";"Lipids and lipid-like molecules";"Glycerolipids";1;1;4;4;38;0.0263157894736842
