"Genus_current";"Domain_analysis";"Class_analysis";"Species_class_count";"Article_count";"Chemical_entity_count";"Incidence_record_count";"Studied_species_in_genus";"Species_prevalence_within_genus"
"Acoelorraphe";"Other primary metabolites";"Organic acids";1;1;1;1;1;1
"Acrocomia";"Amino acids and peptides";"Amino acids and derivatives";1;1;1;2;4;0.25
"Acrocomia";"Amino acids and peptides";"Proteins/peptides";1;1;1;2;4;0.25
"Acrocomia";"Carbohydrates";"Polysaccharides";1;1;1;2;4;0.25
"Acrocomia";"Carbohydrates";"Sugars and carbohydrate derivatives";1;1;3;6;4;0.25
"Acrocomia";"Lipids and lipid-like molecules";"Fatty acids and derivatives";4;10;21;90;4;1
"Acrocomia";"Lipids and lipid-like molecules";"Other lipids";1;1;1;2;4;0.25
"Acrocomia";"Terpenoids and steroids";"Carotenoids and apocarotenoids";1;1;1;1;4;0.25
"Acrocomia";"Terpenoids and steroids";"Steroids and sterols";1;1;2;2;4;0.25
"Acrocomia";"Terpenoids and steroids";"Triterpenoids";1;1;4;4;4;0.25
"Adonidia";"Lipids and lipid-like molecules";"Fatty acids and derivatives";1;1;3;5;1;1
"Adonidia";"Other primary metabolites";"Organic acids";1;1;1;1;1;1
"Adonidia";"Terpenoids and steroids";"Carotenoids and apocarotenoids";1;1;4;4;1;1
"Aiphanes";"Carbohydrates";"Sugars and carbohydrate derivatives";1;1;1;1;3;0.333333333333333
"Aiphanes";"Lipids and lipid-like molecules";"Fatty acid esters";1;1;10;10;3;0.333333333333333
"Aiphanes";"Lipids and lipid-like molecules";"Fatty acids and derivatives";1;2;10;10;3;0.333333333333333
"Aiphanes";"Lipids and lipid-like molecules";"Fatty alcohols and wax constituents";1;1;3;3;3;0.333333333333333
"Aiphanes";"Lipids and lipid-like molecules";"Hydrocarbons";2;2;9;10;3;0.666666666666667
"Aiphanes";"Other primary metabolites";"Organic acids";1;1;1;1;3;0.333333333333333
"Aiphanes";"Other specialized metabolites";"Volatile organic compounds";2;2;11;11;3;0.666666666666667
"Aiphanes";"Phenylpropanoids and polyketides";"Anthocyanins";1;1;4;4;3;0.333333333333333
"Aiphanes";"Phenylpropanoids and polyketides";"Coumarins";1;1;4;4;3;0.333333333333333
"Aiphanes";"Phenylpropanoids and polyketides";"Flavanols and flavans";1;1;1;1;3;0.333333333333333
