"Genus_current";"Studied_species";"Total_species";"Representation_rate"
"Howea";2;2;1
"Elaeis";2;2;1
"Carpentaria";1;1;1
"Dictyosperma";1;1;1
"Zombia";1;1;1
"Acoelorraphe";1;1;1
"Ammandra";1;1;1
"Aphandra";1;1;1
"Bismarckia";1;1;1
"Carpoxylon";1;1;1
"Chamaerops";1;1;1
"Iriartea";1;1;1
"Jubaea";1;1;1
"Jubaeopsis";1;1;1
"Lodoicea";1;1;1
"Serenoa";1;1;1
"Washingtonia";1;1;1
"Wodyetia";1;1;1
"Leucothrinax";1;1;1
"Latania";2;3;0.666666666666667
"Hyophorbe";3;5;0.6
"Phoenix";8;15;0.533333333333333
"Acrocomia";4;8;0.5
"Mauritia";1;2;0.5
"Bentinckia";1;2;0.5
"Sabal";8;19;0.421052631578947
"Euterpe";3;8;0.375
"Archontophoenix";2;6;0.333333333333333
"Colpothrinax";1;3;0.333333333333333
"Parajubaea";1;3;0.333333333333333
"Trithrinax";1;3;0.333333333333333
"Adonidia";1;3;0.333333333333333
"Butia";8;26;0.307692307692308
"Oenocarpus";3;10;0.3
"Livistona";7;28;0.25
"Chelyocarpus";1;4;0.25
"Phytelephas";1;4;0.25
"Thrinax";1;4;0.25
"Pseudophoenix";1;4;0.25
"Socratea";1;5;0.2
"Mauritiella";1;5;0.2
"Borassus";1;5;0.2
"Cocos";1;5;0.2
"Caryota";3;16;0.1875
"Ptychosperma";4;24;0.166666666666667
"Veitchia";2;12;0.166666666666667
"Corypha";1;6;0.166666666666667
"Gaussia";1;6;0.166666666666667
"Allagoptera";1;6;0.166666666666667
"Attalea";6;41;0.146341463414634
"Hyphaene";1;8;0.125
"Syagrus";10;82;0.121951219512195
"Chambeyronia";1;9;0.111111111111111
"Copernicia";3;29;0.103448275862069
"Astrocaryum";4;39;0.102564102564103
"Prestoea";1;10;0.1
"Roystonea";1;10;0.1
"Trachycarpus";1;10;0.1
"Raphia";2;22;0.0909090909090909
"Wettinia";2;22;0.0909090909090909
"Rhapis";1;11;0.0909090909090909
"Aiphanes";3;37;0.0810810810810811
"Chrysalidocarpus";5;63;0.0793650793650794
"Arenga";2;26;0.0769230769230769
"Ceroxylon";1;13;0.0769230769230769
"Chamaedorea";8;112;0.0714285714285714
"Areca";3;46;0.0652173913043478
"Geonoma";4;68;0.0588235294117647
"Coccothrinax";3;62;0.0483870967741936
"Bactris";3;80;0.0375
"Calyptrocalyx";1;28;0.0357142857142857
"Licuala";4;149;0.0268456375838926
"Heterospathe";1;38;0.0263157894736842
"Pinanga";2;145;0.0137931034482759
"Calamus";5;435;0.0114942528735632
"Laccosperma";0;7;0
"Synechanthus";0;3;0
"Clinosperma";0;4;0
"Clinostigma";0;11;0
"Nannorrhops";0;2;0
"Pritchardia";0;29;0
"Hydriastele";0;39;0
"Lanonia";0;20;0
"Lemurophoenix";0;2;0
"Calyptrogyne";0;18;0
"Campecarpus";0;1;0
"Orania";0;30;0
"Iguanura";0;31;0
"Ravenea";0;23;0
"Cryosophila";0;10;0
"Cyphokentia";0;2;0
"Cyphophoenix";0;2;0
"Cyphosperma";0;5;0
"Cyrtostachys";0;7;0
"Dypsis";0;108;0
"Lepidorrhachis";0;1;0
"Drymophloeus";0;3;0
"Hemithrinax";0;3;0
"Linospadix";0;6;0
"Hyospathe";0;7;0
"Marojejya";0;2;0
"Medemia";0;1;0
"Nenga";0;5;0
"Juania";0;1;0
"Johannesteijsmannia";0;4;0
"Oncocalamus";0;4;0
"Phoenicophorium";0;1;0
"Neoveitchia";0;2;0
"Pholidocarpus";0;6;0
"Oraniopsis";0;1;0
"Korthalsia";0;27;0
"Physokentia";0;7;0
"Pigafetta";0;2;0
"Plectocomia";0;14;0
"Plectocomiopsis";0;7;0
"Ptychococcus";0;2;0
"Roscheria";0;1;0
"Salacca";0;23;0
"Reinhardtia";0;6;0
"Saribus";0;10;0
"Rhopaloblaste";0;6;0
"Voanioala";0;1;0
"Vonitra";0;10;0
"Welfia";0;2;0
"Acanthophoenix";0;3;0
"Tahina";0;1;0
"Desmoncus";0;26;0
"Balaka";0;11;0
"Pholidostachys";0;8;0
"Butyagrus";0;3;0
"Jailoloa";0;1;0
"Guihaia";0;4;0
"Truongsonia";0;1;0
"Basselinia";0;16;0
"Chuniophoenix";0;3;0
"Masoala";0;3;0
"Actinorhytis";0;1;0
"Asterogyne";0;5;0
"Barcella";0;1;0
"Beccariophoenix";0;3;0
"Borassodendron";0;2;0
"Brahea";0;11;0
"Brassiophoenix";0;2;0
"Burretiokentia";0;5;0
"Calyptronoma";0;3;0
"Deckenia";0;1;0
"Dictyocaryum";0;3;0
"Eleiodoxa";0;1;0
"Eremospatha";0;11;0
"Eugeissona";0;6;0
"Hedyscepe";0;1;0
"Iriartella";0;2;0
"Itaya";0;1;0
"Kerriodoxa";0;1;0
"Laccospadix";0;1;0
"Leopoldinia";0;3;0
"Lepidocaryum";0;1;0
"Loxococcus";0;1;0
"Manicaria";0;2;0
"Maxburretia";0;3;0
"Metroxylon";0;5;0
"Myrialepis";0;1;0
"Neonicholsonia";0;1;0
"Nephrosperma";0;1;0
"Normanbya";0;1;0
"Nypa";0;1;0
"Oncosperma";0;5;0
"Pelagodoxa";0;2;0
"Podococcus";0;2;0
"Ponapea";0;4;0
"Rhapidophyllum";0;1;0
"Rhopalostylis";0;2;0
"Satakentia";0;1;0
"Satranala";0;1;0
"Schippia";0;1;0
"Sclerosperma";0;3;0
"Sommieria";0;1;0
"Tectiphiala";0;1;0
"Veillonia";0;1;0
"Verschaffeltia";0;1;0
"Wendlandiella";0;1;0
"Dransfieldia";0;1;0
"Manjekia";0;1;0
"Sabinaria";0;1;0
"Wallaceodoxa";0;1;0
"Acanthorhiza";0;1;0
"Ceratolobus";0;2;0
"Klopstockia";0;1;0
"Martinezia";0;1;0
