"Term";"Estimate";"Std_error";"Statistic";"P_value";"Model";"Framework";"Model_class";"Formula";"Odds_ratio";"CI_low";"CI_high";"N_species";"N_events"
"(Intercept)";-2.51997629767565;0.385360875726897;-6.53926347069428;0.0000000000618225310647469;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.0804615138518297;0.037806145352773;0.171243461900655;;
"z_log_native_range_L3";0.647868915427771;0.0882284515871835;7.34308382129516;0.000000000000208727712550954;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.91146299615236;1.60791956914428;2.27230942130035;;
"Native_Southern_America";-0.0188205457459746;0.449521468326488;-0.0418679575327983;0.966603960174165;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.981355454853134;0.406617384197625;2.36846373568213;;
"Native_Africa";-0.396804307676866;0.617045190161695;-0.643071713390852;0.52017756796094;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.672465609114574;0.200646047610231;2.25376976435781;;
"Native_Asia_tropical";-1.26981261972832;0.501045108629849;-2.53432794344751;0.0112663239060307;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.280884249014465;0.10520325557333;0.749938401758177;;
"Native_Pacific";-0.200771638382788;0.622446646641736;-0.322552365678254;0.747034273576608;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.818099232687759;0.241528677434021;2.77104301499408;;
"Native_Asia_temperate";0.755624279002328;0.337315926187508;2.24010851649587;0.0250838787795046;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";2.12894016123165;1.09909274660372;4.12375227123507;;
"Native_Northern_America";0.328806699546947;0.29371227232973;1.11948573663214;0.262932972513617;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.38930927551773;0.781242752933771;2.47065365507875;;
"Native_Australasia";1.30817203141672;0.522913967392145;2.50169647971115;0.0123599838075886;"M0_logistic_geography";"Geographic availability";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";3.69940513136143;1.32745112393503;10.3096815236212;;
"(Intercept)";-2.94456974406828;0.208251917618202;-14.1394604080751;0.00000000000000000000000000000000000000000000216941420994522;"M1_logistic_morphology";"Morphology";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1";0.05262469703408;0.0349882320000594;0.0791511482467593;;
"z_log_native_range_L3";0.520946978419856;0.0821250013439283;6.34334209917637;0.000000000224833401975017;"M1_logistic_morphology";"Morphology";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1";1.68362124801727;1.43330358015671;1.97765535928216;;
"z_Palm_stature_PC1";0.952039019643771;0.134294751261777;7.08917519634096;0.00000000000134913644871881;"M1_logistic_morphology";"Morphology";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + z_Palm_stature_PC1 +      z_Fruit_size_PC1";2.59098735093418;1.9913669394476;3.37115943813104;;
