"Indicator";"Value";"Unit"
"Screened_documents";389;"documents"
"Included_articles";250;"articles"
"Excluded_documents";139;"documents"
"Original_evidence_records";6287;"evidence records"
"Deduplicated_analytical_incidences";5207;"article x taxon x organ x entity"
"Chemical_entities_before_fusion";1682;"chemical entities"
"Curated_chemical_entities";1677;"chemical entities"
"Biological_scope_entities";1645;"chemical entities"
"Current_species";2582;"species"
"Studied_current_species";173;"species"
"Family_genera";189;"genera"
"Studied_current_genera";75;"genera"
"Phylogeny_species";2233;"species"
"Studied_phylogeny_species";172;"species"
"PalmTraits_species";2236;"species"
"Studied_PalmTraits_species";172;"species"
"Native_geography_species";2527;"species"
"Studied_native_geography_species";171;"species"
"Accessibility_species";2198;"species"
"Studied_accessibility_species";167;"species"
