Article_ID;DOI;Year;Authors;Title;Journal;Volume_pages;Species;Organ/material;Corpus_status;Chemical_scope;Key_result;Source_file;Genus_count_master;Species_count_master;Taxonomic_unit_count_master;Organ_primary_count_master;Presence_record_count_master;Chemical_entity_count_master;Exact_structure_count_master;Chemical_domain_count_master;Chemical_class_count_master
L01;10.1080/14786419.2011.587188;2012;Kassem et al.;A sulphated flavone glycoside from Livistona australis and its antioxidant and cytotoxic activity;Natural Product Research;26(15):1381-1387;Livistona australis;Leaves;Include;Isolation / structure elucidation;"15 flavonoids isolated; one new sulphated tricin glycoside";kassem2011.pdf;1;1;1;1;15;15;11;1;2
L03;10.1002/ptr.4777;2013;Michael et al.;Bioactivity of diosmetin glycosides isolated from the epicarp of date fruits, Phoenix dactylifera, on the biochemical profile of alloxan diabetic male rats;Phytotherapy Research;27:699-704;Phoenix dactylifera;Fruit epicarp;Include;Isolation / bioactivity;Two new diosmetin glycosides isolated;Phytotherapy Research - 2012 - Michael - Bioactivity of Diosmetin Glycosides Isolated from the Epicarp of Date Fruits.pdf;1;1;1;1;2;2;0;1;1
L04;10.1007/s10600-009-9427-6;2009;Boaventura & Galotta;Polar constituents of Euterpe precatoria roots and their plant growth activity;Chemistry of Natural Compounds;45(5):700-701;Euterpe precatoria;Roots;Include;Isolation / plant growth activity;Two alkyl glucosides and three sugar mixtures isolated;s10600-009-9427-6.pdf;1;1;1;1;5;5;0;1;1
L05;10.1016/j.fitote.2011.09.020;2012;Zeng et al.;Bioactive phenolics from the fruits of Livistona chinensis;Fitoterapia;83:104-109;Livistona chinensis;Fruits;Include;Isolation / structure elucidation;"15 phenolics isolated; four reported as new";1-s2.0-S0367326X11002577-main.pdf;1;1;1;1;15;15;12;2;5
L06;10.1016/j.foodchem.2009.03.002;2009;Kuhnle et al.;Phytoestrogen content of fruits and vegetables commonly consumed in the UK based on LC-MS and 13C-labelled standards;Food Chemistry;116:542-554;"Cocos nucifera; Phoenix dactylifera";Fruit-derived foods;Include;Targeted quantitative food analysis;Eight phytoestrogens assessed in coconut and date products;1-s2.0-S030881460900291X-main.pdf;2;2;2;1;16;8;8;1;2
L07;10.1016/j.phytochem.2010.01.013;2010;Lam & Lee;Unusual stilbenoids and a stilbenolignan from seeds of Syagrus romanzoffiana;Phytochemistry;71:792-797;Syagrus romanzoffiana;Seeds;Include;Isolation / structure elucidation;Three new compounds plus known phenylpropanoids;1-s2.0-S0031942210000208-main.pdf;1;1;1;1;7;7;2;1;4
L08;10.1155/2013/412851;2013;Liu et al.;Peroxidase as the major protein constituent in areca nut and identification of its natural substrates;Evidence-Based Complementary and Alternative Medicine;2013:412851;Areca catechu;Seed (areca nut);Include;Protein purification / LC-MS/MS;"Peroxidase purified; phenolic substrates investigated";Evidence-Based Complementary and Alternative Medicine - 2013 - Liu - Peroxidase as the Major Protein Constituent in Areca.pdf;1;1;1;1;3;3;1;1;2
L09;10.1002/jsfa.6081;2013;Chavan & Singhal;Separation of polyphenols and arecoline from areca nut (Areca catechu L.) by solvent extraction, its antioxidant activity, and identification of polyphenols;Journal of the Science of Food and Agriculture;93:2580-2589;Areca catechu;"Marketed areca nut; anatomical fraction not stated";Include;Extraction optimization / HPLC / LC-MS;Catechin, epicatechin and arecoline reported;J Sci Food Agric - 2013 - Chavan - Separation of polyphenols and arecoline from areca nut Areca catechu L by solvent.pdf;1;1;1;1;3;3;1;2;2
L10;10.1111/j.1750-3841.2012.02653.x;2012;Yuan et al.;Alkaloids from Areca (Betel) Nuts and Their Effects on Human Sperm Motility In Vitro;Journal of Food Science;77(4):T70-T78;Areca catechu;Husk and kernel;Include;Validated quantitative HPLC / bioactivity;Arecoline, arecaidine and guvacine quantified in 12 locations;Journal of Food Science - 2012 - Yuan - Alkaloids from Areca Betel Nuts and Their Effects on Human Sperm Motility In.pdf;1;1;1;2;6;3;3;1;1
L11;10.1207/S15327914NC5402_5;2006;Thompson et al.;Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan;Nutrition and Cancer;54(2):184-201;Phoenix dactylifera (food identity);Dried dates;Include;Targeted quantitative food analysis;Nine phytoestrogens quantified in dried dates by GC-MS;EBSCO-FullText-08_11_2026.pdf;1;1;1;1;9;9;8;1;2
L12;10.1016/j.bmc.2005.08.059;2006;Ohtsuki et al.;Steroidal saponins from Calamus insignis, and their cell growth and cell cycle inhibitory activities;Bioorganic & Medicinal Chemistry;14:659-665;Calamus insignis;Stems;Include;Isolation / structure elucidation;"Five steroidal saponins isolated; compounds 2-5 new";1-s2.0-S0968089605008382-main.pdf;1;1;1;1;5;5;0;1;1
L13;10.1248/CPB.55.308;2007;Yoshikawa et al.;Medicinal flowers. XII. New spirostane-type steroid saponins with antidiabetogenic activity from Borassus flabellifer;Chemical & Pharmaceutical Bulletin;55(2):308-316;Borassus flabellifer;Male flowers;Include;Isolation / structure elucidation;Six new borassosides and 23 known constituents isolated;55_308.pdf;1;1;1;1;29;29;12;1;2
L14;10.1016/j.phytochem.2007.12.004;2008;Lam et al.;alpha-Glucosidase inhibitors from the seeds of Syagrus romanzoffiana;Phytochemistry;69:1173-1178;Syagrus romanzoffiana;Seeds;Include;Isolation / structure elucidation;"Eight compounds isolated; 13-hydroxykompasinol A and scirpusin C new";1-s2.0-S0031942207007200-main.pdf;1;1;1;1;8;8;5;1;2
L15;10.1021/JF801792N;2008;Chin et al.;Lignans and other constituents of the fruits of Euterpe oleracea with antioxidant and cytoprotective activities;Journal of Agricultural and Food Chemistry;56:7759-7764;Euterpe oleracea;Processed fruit pulp;Include;Isolation / spectral comparison;"Twenty-two known compounds isolated; lignans reported from the fruit for the first time";jf801792n.pdf;1;1;1;1;22;22;16;2;7
L16;10.1016/j.chroma.2008.09.007;2008;Sousa et al.;Flavylium chromophores as species markers for dragon's blood resins from Dracaena and Daemonorops trees;Journal of Chromatography A;1209:153-161;Daemonorops draco (WCVP: Unplaced destination);Fruit-surface resin / commercial and historical resin;Include - taxonomic limitation;Targeted HPLC-DAD authentication;Dracorhodin validated as the main flavylium marker of Daemonorops resin;1-s2.0-S0021967308015331-main.pdf;0;0;1;1;1;1;1;1;1
