Incidence_record_ID;Article_ID;Analysis_taxon_key;Organ_primary;Chemical_entity_ID;DOI;WCVP_taxon_id;Taxon_current_analysis;Genus_current_analysis;Species_current_analysis;Taxon_analysis_level;Species_ready_source;Entity_name_analysis;Domain_analysis;Class_original_analysis;Class_analysis;Class_confidence_analysis;Class_resolved;Metabolite_scope;Sulfated_flag;Exact_structure_ID_analysis;Exact_structure_resolved;Structure_status_analysis;Validated_PubChem_CID_analysis;Validated_InChIKey_analysis;Molecular_formula_analysis;Molecular_weight_analysis;Evidence_record_count;Evidence_record_IDs;Source_record_IDs;Compound_IDs;Best_evidence_grade;Methods_combined;Method_GC;Method_LC;Method_NMR_isolation;Method_MS;Method_other_assay;Method_unspecified;Chemical_entity_ID_original;Strict_sensitivity_scope;Curation_flag
I04C00001;L01;WCVP_114905;Leaf;CHEM0056;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Apigenin;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0031;1;Provisional exact structure accepted;5280443.0;KZNIFHPLKGYRTM-UHFFFAOYSA-N;C15H10O5;270.24;1;E-O014;O014;C0058;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0056;1;LEGACY_CURATED
I04C00002;L01;WCVP_114905;Leaf;CHEM0181;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Genkwanin 6-C-beta-D-glucopyranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O002;O002;C0194;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0181;1;LEGACY_CURATED
I04C00003;L01;WCVP_114905;Leaf;CHEM0182;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Genkwanin 8-C-beta-D-glucopyranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O003;O003;C0195;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0182;1;LEGACY_CURATED
I04C00004;L01;WCVP_114905;Leaf;CHEM0194;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Hyperoside;Phenylpropanoids and polyketides;Flavonols;Flavonols;High;1;1;0;STR0109;1;Provisional exact structure accepted;5281643.0;OVSQVDMCBVZWGM-DTGCRPNFSA-N;C21H20O12;464.4;1;E-O011;O011;C0308;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0194;1;LEGACY_CURATED
I04C00005;L01;WCVP_114905;Leaf;CHEM0195;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Isoorientin;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0110;1;Provisional exact structure accepted;114776.0;ODBRNZZJSYPIDI-VJXVFPJBSA-N;C21H20O11;448.4;1;E-O005;O005;C0213;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0195;1;LEGACY_CURATED
I04C00006;L01;WCVP_114905;Leaf;CHEM0206;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Isovitexin;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0118;1;Provisional exact structure accepted;162350.0;MYXNWGACZJSMBT-VJXVFPJBSA-N;C21H20O10;432.4;1;E-O004;O004;C0224;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0206;1;LEGACY_CURATED
I04C00007;L01;WCVP_114905;Leaf;CHEM0220;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Luteolin;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0127;1;Provisional exact structure accepted;5280445.0;IQPNAANSBPBGFQ-UHFFFAOYSA-N;C15H10O6;286.24;1;E-O015;O015;C0241;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0220;1;LEGACY_CURATED
I04C00008;L01;WCVP_114905;Leaf;CHEM0221;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Luteolin 7-O-beta-D-glucopyranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0128;1;Provisional exact structure accepted;5280637.0;PEFNSGRTCBGNAN-QNDFHXLGSA-N;C21H20O11;448.4;1;E-O009;O009;C0242;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0221;1;LEGACY_CURATED
I04C00009;L01;WCVP_114905;Leaf;CHEM0244;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Orientin;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0144;1;Provisional exact structure accepted;5281675.0;PLAPMLGJVGLZOV-VPRICQMDSA-N;C21H20O11;448.4;1;E-O006;O006;C0269;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0244;1;LEGACY_CURATED
I04C00010;L01;WCVP_114905;Leaf;CHEM0274;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Quercetin;Phenylpropanoids and polyketides;Flavonols;Flavonols;High;1;1;0;STR0162;1;Provisional exact structure accepted;5280343.0;REFJWTPEDVJJIY-UHFFFAOYSA-N;C15H10O7;302.23;1;E-O013;O013;C0307;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0274;1;LEGACY_CURATED
I04C00011;L01;WCVP_114905;Leaf;CHEM0275;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Quercetin 3-O-beta-D-glucopyranoside;Phenylpropanoids and polyketides;Flavonols;Flavonols;High;1;1;0;STR0163;1;Provisional exact structure accepted;5280804.0;OVSQVDMCBVZWGM-QSOFNFLRSA-N;C21H20O12;464.4;1;E-O010;O010;C0309;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0275;1;LEGACY_CURATED
I04C00012;L01;WCVP_114905;Leaf;CHEM0337;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Tricin;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0183;1;Provisional exact structure accepted;5281702.0;HRGUSFBJBOKSML-UHFFFAOYSA-N;C17H14O7;330.29;1;E-O012;O012;C0380;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0337;1;LEGACY_CURATED
I04C00013;L01;WCVP_114905;Leaf;CHEM0338;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Tricin 4'-O-beta-D-glucopyranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O008;O008;C0381;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0338;1;LEGACY_CURATED
I04C00014;L01;WCVP_114905;Leaf;CHEM0340;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Tricin 7-O-beta-D-glucopyranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;STR0184;1;Provisional exact structure accepted;5322022.0;JGXFMIJHKASCIZ-LDBVRRDLSA-N;C23H24O12;492.4;1;E-O007;O007;C0383;B;"UV; NMR; MS; comparison with published spectra";0;0;1;1;0;0;CHEM0340;1;LEGACY_CURATED
I04C00015;L01;WCVP_114905;Leaf;CHEM0341;10.1080/14786419.2011.587188;114905.0;Livistona australis;Livistona;Livistona australis;Current species;True;Tricin 7-O-beta-D-glucopyranoside 2''-sulfate, sodium salt;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;1;;0;"No database match; second search/PDF required";;;;;1;E-O001;O001;C0384;A;"UV; 1D/2D NMR; ESI-MS; electrophoresis; controlled and complete acid hydrolysis";0;0;1;1;0;0;CHEM0341;1;LEGACY_CURATED
I04C00016;L03;WCVP_152659;Fruit;CHEM0143;10.1002/ptr.4777;152659.0;Phoenix dactylifera;Phoenix;Phoenix dactylifera;Current species;True;Diosmetin 7-O-beta-D-apiofuranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O017;O017;C0151;B;"UV shift reagents; 1H/13C NMR; acid hydrolysis; co-PC";0;0;1;0;0;0;CHEM0143;1;LEGACY_CURATED
I04C00017;L03;WCVP_152659;Fruit;CHEM0144;10.1002/ptr.4777;152659.0;Phoenix dactylifera;Phoenix;Phoenix dactylifera;Current species;True;Diosmetin 7-O-beta-L-arabinofuranosyl-(1->2)-beta-D-apiofuranoside;Phenylpropanoids and polyketides;Flavones;Flavones;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O016;O016;C0152;B;"UV shift reagents; 1H/13C NMR; acid hydrolysis; co-PC";0;0;1;0;0;0;CHEM0144;1;LEGACY_CURATED
I04C00018;L04;WCVP_83104;Root;CHEM0019;10.1007/s10600-009-9427-6;83104.0;Euterpe precatoria;Euterpe;Euterpe precatoria;Current species;True;1-Ethyl beta-D-glucopyranoside;Carbohydrates;Sugars and carbohydrate derivatives;Sugars and carbohydrate derivatives;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O018;O018;C0019;A;"1H/13C and 2D NMR; co-TLC with authentic samples; literature comparison";0;0;1;0;0;0;CHEM0019;1;LEGACY_CURATED
I04C00019;L04;WCVP_83104;Root;CHEM0020;10.1007/s10600-009-9427-6;83104.0;Euterpe precatoria;Euterpe;Euterpe precatoria;Current species;True;1-Methyl beta-D-glucopyranoside (as published);Carbohydrates;Sugars and carbohydrate derivatives;Sugars and carbohydrate derivatives;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O019;O019;C0020;C;"1H/13C and 2D NMR; co-TLC with authentic samples; literature comparison";0;0;1;0;0;0;CHEM0020;1;LEGACY_CURATED
I04C00020;L04;WCVP_83104;Root;CHEM0122;10.1007/s10600-009-9427-6;83104.0;Euterpe precatoria;Euterpe;Euterpe precatoria;Current species;True;D-Glucose, alpha/beta mixture;Carbohydrates;Sugars and carbohydrate derivatives;Sugars and carbohydrate derivatives;High;1;1;0;;0;Observed annotation without exact structure;;;;;1;E-O021;O021;C0129;B;"1H/13C and 2D NMR; co-TLC with authentic samples; literature comparison";0;0;1;0;0;0;CHEM0122;1;LEGACY_CURATED
I04C00021;L04;WCVP_83104;Root;CHEM0211;10.1007/s10600-009-9427-6;83104.0;Euterpe precatoria;Euterpe;Euterpe precatoria;Current species;True;L-Arabinose, alpha/beta mixture;Carbohydrates;Sugars and carbohydrate derivatives;Sugars and carbohydrate derivatives;High;1;1;0;;0;Observed annotation without exact structure;;;;;1;E-O022;O022;C0230;B;"1H/13C and 2D NMR; co-TLC with authentic samples; literature comparison";0;0;1;0;0;0;CHEM0211;1;LEGACY_CURATED
I04C00022;L04;WCVP_83104;Root;CHEM0212;10.1007/s10600-009-9427-6;83104.0;Euterpe precatoria;Euterpe;Euterpe precatoria;Current species;True;L-Rhamnose, alpha/beta mixture;Carbohydrates;Sugars and carbohydrate derivatives;Sugars and carbohydrate derivatives;High;1;1;0;;0;Observed annotation without exact structure;;;;;1;E-O020;O020;C0231;B;"1H/13C and 2D NMR; co-TLC with authentic samples; literature comparison";0;0;1;0;0;0;CHEM0212;1;LEGACY_CURATED
I04C00023;L05;WCVP_114913;Fruit;CHEM0018;10.1016/j.fitote.2011.09.020;114913.0;Livistona chinensis;Livistona;Livistona chinensis;Current species;True;1-{omega-Isoferuloyl[6-(4-hydroxybutyl)pentadecanoic acid]}glycerol;Phenylpropanoids and polyketides;Phenolic lipids;Phenolic lipids;High;1;1;0;;0;"No database match; second search/PDF required";;;;;1;E-O023;O023;C0018;A;"1D/2D NMR; HR-ESI-MS; hydrolysis/GC-MS where applicable";1;0;1;1;0;0;CHEM0018;1;LEGACY_CURATED
