"WCVP_taxon_id";"Analysis_species_key";"Species_current";"Genus_current";"Research_studied_binary";"Research_article_count";"Research_evidence_record_count";"Chem_richness_entities_observed";"Chem_richness_exact_structures";"Chem_richness_classes";"Chem_richness_domains";"Chem_organ_primary_count";"Research_log1p_articles";"Research_log1p_evidence_records";"Chem_entities_per_article_observed";"POWO_native_L1_count";"POWO_native_L2_count";"POWO_native_L3_count";"POWO_native_continents";"POWO_native_codes_L3";"Trait_data_available";"Human_use_resolved";"Human_use_broad_candidate";"Human_use_any";"Economic_quantitative_data_available";"Tree_included";"Tree_match_method";"Tree_tip_original";"Tree_tip_analysis";"WCVP_taxonomic_status";"POWO_url";"WCVP_locality_count";"WCVP_TDWG_count";"WCVP_localities";"WCVP_TDWG_codes";"PalmTraits_available";"PalmTraits_source_rows_collapsed";"PalmTraits_name";"PalmTribe";"PalmSubfamily";"Climbing";"Acaulescent";"Erect";"StemSolitary";"StemArmed";"LeavesArmed";"MaxStemHeight_m";"MaxStemDia_cm";"UnderstoreyCanopy";"MaxLeafNumber";"Max_Blade_Length_m";"Max_Rachis_Length_m";"Max_Petiole_length_m";"AverageFruitLength_cm";"MinFruitLength_cm";"MaxFruitLength_cm";"AverageFruitWidth_cm";"MinFruitWidth_cm";"MaxFruitWidth_cm";"FruitSizeCategorical";"FruitShape";"FruitColorDescription";"MainFruitColors";"Conspicuousness";"Chemically_studied_250";"Chemistry_source_taxa_collapsed";"Chemistry_merge_review";"Chemistry_name_original";"Article_count";"Organ_primary_count";"Occurrence_or_presence_records";"Chemical_entity_count";"Exact_structure_count";"Chemical_domain_count";"Chemical_class_count";"Compounds_per_article";"Commodity_species_resolved";"Commodity_candidate_broad";"Commodity_assignment_count";"Commodity_domains";"Commodity_ids";"Commodity_min_confidence";"FAOSTAT_GPV_current_USD_mean_2020_2024";"FAOSTAT_GPV_constant_USD_mean_2020_2024";"FAOSTAT_production_t_mean_2020_2024";"FAOSTAT_area_harvested_ha_mean_2020_2024";"FAOSTAT_yield_kg_ha_mean_2020_2024";"IBGE_PEVS_value_BRL_mean_2020_2024";"IBGE_PAM_value_BRL_mean_2020_2024";"POWO_native_regions_L2";"POWO_native_areas_L3";"Range_log1p_native_L3";"GBIF_native_records";"GBIF_native_unique_coordinates";"GBIF_native_WGSRPD_L3_count";"GBIF_native_WGSRPD_L3_codes";"GBIF_coordinate_uncertainty_missing_share";"GHS_unique_1km_cells";"GBIF_unique_10km_cells";"GHS_cells_with_population_data";"GHS_POP_2025_sum_unique_1km_cells";"GHS_POP_2025_mean";"GHS_POP_2025_median";"GHS_POP_2025_p75";"GHS_POP_2025_max";"GHS_POP_2025_mean_log1p";"GHS_POP_2025_median_log1p";"GHS_POP_2025_share_nonzero";"GBIF_GHS_data_available";"PalmSubfamily_source";"z_Palm_stature_PC1";"z_Fruit_size_PC1";"z_log_native_range_L3";"z_log_WCVP_TDWG_sensitivity";"z_log_GBIF_10km_cells";"z_GHS_mean_exposure";"Trait_leaf_blade_z";"Trait_climbing";"Trait_acaulescent";"Trait_erect";"Trait_solitary";"Trait_stem_armed";"Trait_leaves_armed";"Trait_canopy";"Native_Africa";"Native_Asia_temperate";"Native_Asia_tropical";"Native_Australasia";"Native_Europe";"Native_Northern_America";"Native_Pacific";"Native_Southern_America"
"520251";"WCVP_520251";"Copernicia × dahlgreniana";"Copernicia";0;;;;;;;;0;0;;1;1;1;"SOUTHERN AMERICA";"CUB";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77155913-1";1;1;"Cuba";"CUB";0;0;;;"Coryphoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Caribbean";"Cuba";0.693147180559945;0;0;0;;;0;0;0;;;;;;;;;0;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;;;;;;;;;;;0;0;0;0;0;0;0;1
"521287";"WCVP_521287";"Laccosperma cristalensis";"Laccosperma";0;;;;;;;;0;0;;1;1;1;"AFRICA";"GAB";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77156704-1";1;1;"Gabon";"GAB";0;0;;;"Calamoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"West-Central Tropical Africa";"Gabon";0.693147180559945;2;2;1;"GAB";1;1;1;1;0;0;0;0;0;0;0;0;1;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;-1.16385849192988;-1.00122540743055;;;;;;;;;1;0;0;0;0;0;0;0
"522096";"WCVP_522096";"Rhapis kebangensis";"Rhapis";0;;;;;;;;0;0;;1;1;1;"ASIA-TROPICAL";"VIE";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77154792-1";1;1;"Vietnam";"VIE";0;0;;;"Coryphoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Indo-China";"Vietnam";0.693147180559945;1;1;1;"VIE";1;1;1;1;0;0;0;0;0;0;0;0;1;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;-1.16385849192988;-1.00122540743055;;;;;;;;;0;0;1;0;0;0;0;0
"522111";"WCVP_522111";"Rhapis evansii";"Rhapis";0;;;;;;;;0;0;;1;1;1;"ASIA-TROPICAL";"LAO";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77154789-1";1;1;"Laos";"LAO";0;0;;;"Coryphoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Indo-China";"Laos";0.693147180559945;1;1;1;"LAO";1;1;1;1;516.277366090566;516.277366090566;516.277366090566;516.277366090566;516.277366090566;6.24857922211945;6.24857922211945;1;1;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;-1.16385849192988;2.64636363286296;;;;;;;;;0;0;1;0;0;0;0;0
"522119";"WCVP_522119";"Synechanthus dasystachys";"Synechanthus";0;;;;;;;;0;0;;1;1;1;"SOUTHERN AMERICA";"PAN";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159082-1";1;1;"Panamá";"PAN";0;0;;;"Arecoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Central America";"Panamá";0.693147180559945;7;5;1;"PAN";1;5;2;5;169.964508056641;33.9929016113281;0;71.2779350280762;98.6865730285645;1.77650997808303;0;0.4;1;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;-0.88007773867988;0.0358068675367147;;;;;;;;;0;0;0;0;0;0;0;1
"524524";"WCVP_524524";"Aiphanes argos";"Aiphanes";0;;;;;;;;0;0;;1;1;1;"SOUTHERN AMERICA";"CLM";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77161268-1";1;1;"Colombia";"CLM";0;0;;;"Arecoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Western South America";"Colombia";0.693147180559945;5;3;1;"CLM";1;3;2;3;0;0;0;0;0;0;0;0;1;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;-0.88007773867988;-1.00122540743055;;;;;;;;;0;0;0;0;0;0;0;1
"524612";"WCVP_524612";"Areca jokowi";"Areca";0;;;;;;;;0;0;;1;1;1;"ASIA-TROPICAL";"NWG";0;0;0;0;0;0;"not_in_TREE_nex";;;"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159908-1";1;1;"New Guinea";"NWG";0;0;;;"Arecoideae";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Papuasia";"New Guinea";0.693147180559945;1;1;1;"NWG";0;1;1;1;0;0;0;0;0;0;0;0;1;"Genus mapping from PalmTraits taxonomy";;;-0.574072302036827;-0.560147748400181;-1.16385849192988;-1.00122540743055;;;;;;;;;0;0;1;0;0;0;0;0
"43721";"WCVP_43721";"Clinosperma bracteale";"Clinosperma";0;;;;;;;;0;0;;1;1;1;"PACIFIC";"NWC";1;0;0;0;0;1;"exact_current_name";"Clinosperma_bracteale";"WCVP_43721";"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:665987-1";1;1;"New Caledonia";"NWC";1;1;"Clinosperma bracteale";"Areceae";"Arecoideae";0;0;1;1;0;0;15;10;"canopy";15;1.8;1.5;0.33;1;;;1.15;1;1.1;"small";"ovoid";"green";"green";"cryptic";0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Southwestern Pacific";"New Caledonia";0.693147180559945;113;31;1;"NWC";0.935483870967742;27;13;27;157.045711928978;5.81650784922142;0;0;136.603571573272;0.311341572862764;0;0.148148148148148;1;"PalmTraits";0.613770757795795;-0.506015423089294;-0.574072302036827;-0.560147748400181;0.198063500401989;-0.819480714982407;-0.0708172865104284;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
"43725";"WCVP_43725";"Clinostigma carolinense";"Clinostigma";0;;;;;;;;0;0;;1;1;1;"PACIFIC";"CRL";1;0;0;0;0;1;"exact_current_name";"Clinostigma_carolinense";"WCVP_43725";"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:665990-1";1;1;"Caroline Is.";"CRL";1;1;"Clinostigma carolinense";"Areceae";"Arecoideae";0;0;1;1;0;0;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Northwestern Pacific";"Caroline Is.";0.693147180559945;0;0;0;;;0;0;0;;;;;;;;;0;"PalmTraits";;;-0.574072302036827;-0.560147748400181;;;;0;0;1;1;0;0;;0;0;0;0;0;0;1;0
"43739";"WCVP_43739";"Clinostigma ponapense";"Clinostigma";0;;;;;;;;0;0;;1;1;1;"PACIFIC";"CRL";1;0;0;0;0;1;"exact_current_name";"Clinostigma_ponapense";"WCVP_43739";"Accepted";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:666003-1";1;1;"Caroline Is.";"CRL";1;1;"Clinostigma ponapense";"Areceae";"Arecoideae";0;0;1;1;0;0;20;;"canopy";;5;;;2.2;;;1.5;;;"small";;;;;0;0;0;;;;;;;;;;0;0;0;;;;;;;;;;;"Northwestern Pacific";"Caroline Is.";0.693147180559945;4;4;1;"CRL";0.75;3;1;3;0;0;0;0;0;0;0;0;1;"PalmTraits";;0.235471170494869;-0.574072302036827;-0.560147748400181;-1.16385849192988;-1.00122540743055;1.37783627955917;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
