"Model";"Term";"Estimate";"Std_error";"Statistic";"P_value";"Framework";"Model_class";"Formula";"Odds_ratio";"CI_low";"CI_high";"N_species";"N_events"
"RANGE_native_L3_matched";"(Intercept)";-2.51997629767565;0.385360875726897;-6.53926347069428;0.0000000000618225310647469;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.0804615138518297;0.037806145352773;0.171243461900655;2527;171
"RANGE_native_L3_matched";"z_log_native_range_L3";0.647868915427771;0.0882284515871835;7.34308382129516;0.000000000000208727712550954;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.91146299615236;1.60791956914428;2.27230942130035;2527;171
"RANGE_native_L3_matched";"Native_Southern_America";-0.0188205457459746;0.449521468326488;-0.0418679575327983;0.966603960174165;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.981355454853134;0.406617384197625;2.36846373568213;2527;171
"RANGE_native_L3_matched";"Native_Africa";-0.396804307676866;0.617045190161695;-0.643071713390852;0.52017756796094;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.672465609114574;0.200646047610231;2.25376976435781;2527;171
"RANGE_native_L3_matched";"Native_Asia_tropical";-1.26981261972832;0.501045108629849;-2.53432794344751;0.0112663239060307;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.280884249014465;0.10520325557333;0.749938401758177;2527;171
"RANGE_native_L3_matched";"Native_Pacific";-0.200771638382788;0.622446646641736;-0.322552365678254;0.747034273576608;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.818099232687759;0.241528677434021;2.77104301499408;2527;171
"RANGE_native_L3_matched";"Native_Asia_temperate";0.755624279002328;0.337315926187508;2.24010851649587;0.0250838787795046;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";2.12894016123165;1.09909274660372;4.12375227123507;2527;171
"RANGE_native_L3_matched";"Native_Northern_America";0.328806699546947;0.29371227232973;1.11948573663214;0.262932972513617;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";1.38930927551773;0.781242752933771;2.47065365507875;2527;171
"RANGE_native_L3_matched";"Native_Australasia";1.30817203141672;0.522913967392145;2.50169647971115;0.0123599838075886;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_native_range_L3 + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";3.69940513136143;1.32745112393503;10.3096815236212;2527;171
"RANGE_WCVP_total_matched";"(Intercept)";-2.25062711641385;0.351267175857874;-6.40716602943987;0.000000000148249355027757;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.105333147699243;0.0529127588506898;0.209686137053234;2527;171
"RANGE_WCVP_total_matched";"z_log_WCVP_TDWG_sensitivity";0.874020891183167;0.0882214328526862;9.90712645352999;0.0000000000000000000000387634666123114;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";2.3965276834869;2.01598292975916;2.84890554028908;2527;171
"RANGE_WCVP_total_matched";"Native_Southern_America";-0.412004817800883;0.414574823416519;-0.993800864233731;0.320319825310549;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.662321085113327;0.293883610788441;1.4926630941032;2527;171
"RANGE_WCVP_total_matched";"Native_Africa";-0.914568634378142;0.613351683483809;-1.49109990076726;0.13593526839018;"Range sensitivity; matched sample";"Logistic; genus-clustered HC1 SE";"Research_studied_binary ~ z_log_WCVP_TDWG_sensitivity + Native_Southern_America +      Native_Africa + Native_Asia_tropical + Native_Pacific + Native_Asia_temperate +      Native_Northern_America + Native_Australasia";0.400689432462982;0.12042381893272;1.33322479481576;2527;171
