"Predictor_1";"Predictor_2";"Spearman_rho"
"z_log_native_range_L3";"z_log_native_range_L3";1
"z_Palm_stature_PC1";"z_log_native_range_L3";0.169980169703697
"z_Fruit_size_PC1";"z_log_native_range_L3";0.170472200275225
"z_log_GBIF_10km_cells";"z_log_native_range_L3";0.64765553103919
"z_GHS_mean_exposure";"z_log_native_range_L3";0.198085224677597
"z_log_native_range_L3";"z_Palm_stature_PC1";0.169980169703697
"z_Palm_stature_PC1";"z_Palm_stature_PC1";1
"z_Fruit_size_PC1";"z_Palm_stature_PC1";0.451555035936294
"z_log_GBIF_10km_cells";"z_Palm_stature_PC1";0.185023389781917
"z_GHS_mean_exposure";"z_Palm_stature_PC1";0.145159052864482
"z_log_native_range_L3";"z_Fruit_size_PC1";0.170472200275225
"z_Palm_stature_PC1";"z_Fruit_size_PC1";0.451555035936294
"z_Fruit_size_PC1";"z_Fruit_size_PC1";1
"z_log_GBIF_10km_cells";"z_Fruit_size_PC1";0.115779505300284
"z_GHS_mean_exposure";"z_Fruit_size_PC1";0.0915645263862172
"z_log_native_range_L3";"z_log_GBIF_10km_cells";0.64765553103919
"z_Palm_stature_PC1";"z_log_GBIF_10km_cells";0.185023389781917
"z_Fruit_size_PC1";"z_log_GBIF_10km_cells";0.115779505300284
"z_log_GBIF_10km_cells";"z_log_GBIF_10km_cells";1
"z_GHS_mean_exposure";"z_log_GBIF_10km_cells";0.223705183271213
"z_log_native_range_L3";"z_GHS_mean_exposure";0.198085224677597
"z_Palm_stature_PC1";"z_GHS_mean_exposure";0.145159052864482
"z_Fruit_size_PC1";"z_GHS_mean_exposure";0.0915645263862172
"z_log_GBIF_10km_cells";"z_GHS_mean_exposure";0.223705183271213
"z_GHS_mean_exposure";"z_GHS_mean_exposure";1
