"Indicator";"Observed";"Expected";"Status";"Note"
"WCVP species universe";2582;2582;"PASS";""
"Unique WCVP species identifiers";2582;2582;"PASS";""
"Chemically studied species";173;173;"PASS";""
"Unstudied species";2409;2409;"PASS";""
"Unstudied species with nonmissing chemical metrics after masking";0;0;"PASS";"Unstudied species must not receive chemical richness zero"
"Phylogenetic tree tips";2233;2233;"PASS";""
"Studied species represented in the tree";172;172;"PASS";""
"Species with PalmTraits";2236;2236;"PASS";""
"Species with taxonomic subfamily assigned";2582;2582;"PASS";"Independent of functional-trait availability; PalmTraits, genus mapping and explicit taxonomic fallbacks are distinguished."
"Studied species with taxonomic subfamily assigned";173;173;"PASS";""
"Stature-axis complete species";1787;1787;"PASS";""
"Fruit-axis complete species";1849;1849;"PASS";""
"Species with native GBIF-GHS data";2198;2198;"PASS";""
"Main models fitted";7;7;"PASS";""
"Matched range-sensitivity models fitted";2;2;"PASS";""
"Matched range-sensitivity denominators identical";1;1;"PASS";"Both range definitions use the same species and continent covariates"
"Trait-specific models fitted";8;8;"PASS";""
"Bias-reduced socioeconomic models fitted";3;3;"PASS";""
"All fitted models converged, including phylogenetic models";1;1;"PASS";"Convergence verified model by model"
"Phylogenetic alpha-boundary warnings";0;;"INFO";"No alphaWarn flags returned by phylolm"
"Duplicated current binomials";1;;"INFO";"WCVP taxon identifiers remain the primary keys; the duplicate combines accepted and provisionally accepted records."
"Analysis script copied to output package";1;1;"PASS";""
"Resolved commodity flags among unstudied species";0;0;"PASS";"Separation is expected and handled by bias reduction"
"Maximum absolute predictor correlation";0.64765553103919;;"INFO";"Pairwise Spearman diagnostic"
