"Test";"Observed";"Expected";"Status"
"Normalized analytical incidences";5207;5207;"PASS"
"Included articles";250;250;"PASS"
"Species universe";2582;2582;"PASS"
"Studied species";173;173;"PASS"
"Species-tree tips";2233;2233;"PASS"
"Studied species in species tree";172;172;"PASS"
"Genus-tree tips";184;184;"PASS"
"Method-by-class coefficients";48;48;"PASS"
"Chemical-profile dendrogram tips";32;32;"PASS"
"Main figures";5;5;"PASS"
"Supplementary figures";4;4;"PASS"
"iTOL files";13;13;"PASS"
"All iTOL files are non-empty";1;1;"PASS"
"All PDF exports are non-empty";1;1;"PASS"
"All SVG exports are non-empty";1;1;"PASS"
"All PNG exports are non-empty";1;1;"PASS"
